Unnamed: 0,iso3,country,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,mat_footprint_percap_tons
2870,JOR,Jordan,2021,0.736,74.256,11.1482775,0.674014209,0.764180882,76.773,72.128,12.62659427,12.88729797,12.37726514,10.44668007,10.07157993,10.8373003,9179.676654,3310.473722,14630.50037,0.882,0.458,77.37870026,84.21157074,11.79487179,88.20512821,13.81,60.71,2.033264689,7.3798
2871,JOR,Jordan,2022,0.736,74.215,11.2858685,0.661558113,0.766688653,76.675,72.12,12.62659427,12.88729797,12.37726514,10.44668007,10.07157993,10.8373003,9294.801499,2752.787924,15380.3539,0.863,0.449,77.37870026,84.21157074,13.33333333,86.66666667,13.81,60.71,2.033264689,7.5563
3067,KWT,Kuwait,2020,0.826,76.92,4.3604445,0.828857022,0.814742784,80.023,75.35,15.6911416,17.84918291,13.82607425,7.441742908,8.272894602,7.039573868,50504.71761,24981.57836,66647.52078,1.017,0.203,61.80728762,56.45168673,6.349206349,93.65079365,44.78,88.4,22.40881892,38.6894
3068,KWT,Kuwait,2021,0.836,78.673,4.250114,0.837636885,0.825238031,81.463,77.192,15.6911416,17.84918291,13.82607425,7.441742908,8.272894602,7.039573868,52672.16933,25952.93086,69786.66328,1.015,0.308,61.80728762,56.45168673,1.538461538,98.46153846,44.41,88.45,24.30127757,41.3522
3069,KWT,Kuwait,2022,0.847,80.264,4.268873,0.847552134,0.835979298,82.752,78.878,15.6911416,17.84918291,13.82607425,7.441742908,8.272894602,7.039573868,56729.18152,28017.72588,75231.9156,1.014,0.199,61.80728762,56.45168673,6.25,93.75,44.41,88.45,24.30127757,43.9514
3199,LBN,Lebanon,2020,0.742,77.804,5.6629235,0.706677649,0.762553252,79.895,75.637,12.05109224,12.79566002,11.29957437,8.602969077,8.047852662,9.158085491,13310.52871,6956.175708,20049.51026,0.927,0.388,54.74398998,61.07482541,4.6875,95.3125,29.18,70.36,3.934293297,10.529
3200,LBN,Lebanon,2021,0.725,75.047,5.592631,0.691559864,0.745514281,77.251,72.847,12.05109224,12.79566002,11.29957437,8.602969077,8.047852662,9.158085491,12145.93186,6456.894586,18182.26684,0.928,0.385,54.74398998,61.07482541,4.6875,95.3125,29.81,70.17,4.19696919,11.9609
3201,LBN,Lebanon,2022,0.723,74.416,5.4897395,0.689545665,0.743431443,76.597,72.237,12.05109224,12.79566002,11.29957437,8.602969077,8.047852662,9.158085491,12313.42257,6545.545361,18438.82237,0.928,0.365,54.74398998,61.07482541,6.25,93.75,29.81,70.17,4.19696919,9.1979
4354,OMN,Oman,2020,0.823,74.757,4.5433985,0.786677,0.834157928,76.788,73.289,13.24143028,13.87254047,12.7318697,11.85116959,12.27151012,11.62940025,30926.19077,12871.69308,41951.82229,0.943,0.261,87.59173148,88.65299552,9.88372093,90.11627907,38.74,86.65,14.40087036,39.6876
4355,OMN,Oman,2021,0.81,72.541,4.520471,0.771986625,0.823910984,74.716,70.984,12.96403027,13.46502972,12.58940983,11.87195969,12.2709651,11.66219521,31995.18658,12669.65827,44301.74695,0.937,0.268,90.42819759,93.65162441,9.88372093,90.11627907,34.97,83.84,15.67723806,48.671
4356,OMN,Oman,2022,0.819,73.935,4.576298,0.780083394,0.832785671,76.046,72.356,12.96403027,13.46502972,12.58940983,11.89274979,12.27042007,11.69499016,32967.43827,13055.18531,45769.09652,0.937,0.267,93.2646637,98.6502533,9.941520468,90.05847953,34.97,83.84,15.67723806,48.9599
4717,QAT,Qatar,2020,0.863,79.099,2.760385,0.873809375,0.857938938,80.679,78.225,13.26426983,15.28956032,12.64908981,10.1317219,11.79638314,9.737610384,87384.9076,41704.72718,104582.6664,1.018,0.168,81.8327411,71.4179765,9.756097561,90.24390244,58.4,95.75,37.13293617,59.4577
4718,QAT,Qatar,2021,0.864,79.272,2.688235,0.875835352,0.858357872,80.937,78.314,13.26426983,15.28956032,12.64908981,10.1317219,11.79638314,9.737610384,91760.27693,42345.1745,110339.8214,1.02,0.216,81.8327411,71.4179765,4.444444444,95.55555556,59.6,95.41,39.88427351,60.4693
4719,QAT,Qatar,2022,0.875,81.559,2.695122,0.892561376,0.869100423,83.101,80.626,13.26426983,15.28956032,12.64908981,10.1317219,11.79638314,9.737610384,95944.37754,47963.67663,114134.8423,1.027,0.212,81.8327411,71.4179765,4.444444444,95.55555556,61.73,95.33,39.88427351,63.5912
5047,SAU,Saudi Arabia,2020,0.861,76.239,35.9971065,0.81301366,0.884241067,77.992,74.966,15.17204484,15.52692067,14.817169,11.31052971,10.73622036,11.67045021,45563.29665,19644.33185,64313.95158,0.919,0.249,71.27487946,80.92530823,19.86754967,80.13245033,29.51,79.79,16.96728018,25.8379
5048,SAU,Saudi Arabia,2021,0.867,76.936,35.950396,0.820585241,0.88907068,78.771,75.59,15.17204484,15.52692067,14.817169,11.31052971,10.73622036,11.67045021,47441.15392,21147.7531,66666.72517,0.923,0.23,71.27487946,80.92530823,19.86754967,80.13245033,34.55,79.17,17.56422655,25.7646
5049,SAU,Saudi Arabia,2022,0.875,77.905,36.40882,0.832017761,0.896577417,79.525,76.666,15.17204484,15.52692067,14.817169,11.31052971,10.73622036,11.67045021,50620.43706,24647.00035,69723.10773,0.928,0.229,71.27487946,80.92530823,19.86754967,80.13245033,34.46,79.64,17.56422655,27.1018
6103,ARE,United Arab Emirates,2020,0.93,78.946,9.287289,0.914971447,0.934107359,81.112,77.464,17.20813942,19.75328064,16.37989998,12.73389006,12.5568552,12.85548544,67353.43791,45584.28474,76806.66487,0.98,0.03,82.01306915,85.87095642,50.0,50.0,61.83,88.94,23.3403203,24.7848
6104,ARE,United Arab Emirates,2021,0.931,78.71,9.3651445,0.915861106,0.93340875,80.937,77.216,17.20813942,19.75328064,16.37989998,12.77375031,12.58837032,12.90589046,69550.4956,46936.29118,79458.41784,0.981,0.042,82.02913666,86.14517212,50.0,50.0,52.57,90.28,25.33327567,28.7677
6105,ARE,United Arab Emirates,2022,0.937,79.196,9.4411285,0.922939594,0.936027371,81.412,77.72,17.20813942,19.75328064,16.37989998,12.77375031,12.58837032,12.90589046,74103.71494,51509.56703,84087.84953,0.986,0.035,82.02913666,86.14517212,50.0,50.0,55.32,89.45,25.33327567,28.1632
6367,YEM,Yemen,2020,0.43,64.65,32.2840455,0.225837282,0.486586215,67.885,61.636,7.935313345,6.881697407,8.919806255,2.776825958,1.754562204,3.587975855,1152.015672,154.8755585,2127.288904,0.464,0.787,23.7,38.2,0.970873786,99.02912621,5.7,63.73,0.337132465,1.4547
6368,YEM,Yemen,2021,0.425,63.753,32.9816415,0.219881204,0.480980452,67.134,60.629,7.935313345,6.881697407,8.919806255,2.776825958,1.754562204,3.587975855,1112.162989,150.7629729,2053.07452,0.457,0.821,23.7,38.2,0.294117647,99.70588235,5.84,64.69,0.351346981,1.5149
6369,YEM,Yemen,2022,0.424,63.72,33.696614,0.219081434,0.480185337,67.222,60.493,7.935313345,6.881697407,8.919806255,2.776825958,1.754562204,3.587975855,1105.763435,149.9716669,2041.915582,0.456,0.82,23.7,38.2,0.294117647,99.70588235,5.84,64.69,0.351346981,1.7087
